FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITF1,Abruzzo,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,84611,,
A,Annuale,ITF1,Abruzzo,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,83504,,
A,Annuale,ITF1,Abruzzo,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,82568,,
A,Annuale,ITF1,Abruzzo,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,80988,,
A,Annuale,ITF1,Abruzzo,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,82904,,
A,Annuale,ITF1,Abruzzo,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,85828,,
A,Annuale,ITF2,Molise,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,13297,,
A,Annuale,ITF2,Molise,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,12768,,
A,Annuale,ITF2,Molise,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,11591,,
A,Annuale,ITF2,Molise,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,11463,,
A,Annuale,ITF2,Molise,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,12464,,
A,Annuale,ITF2,Molise,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,13231,,
A,Annuale,ITF3,Campania,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,252228,,
A,Annuale,ITF3,Campania,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,254791,,
A,Annuale,ITF3,Campania,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,249548,,
A,Annuale,ITF3,Campania,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,239990,,
A,Annuale,ITF3,Campania,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,251996,,
A,Annuale,ITF3,Campania,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,263680,,
A,Annuale,ITF4,Puglia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,132092,,
A,Annuale,ITF4,Puglia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,133690,,
A,Annuale,ITF4,Puglia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,134440,,
A,Annuale,ITF4,Puglia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,135173,,
A,Annuale,ITF4,Puglia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,142145,,
A,Annuale,ITF4,Puglia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,147269,,
A,Annuale,ITF5,Basilicata,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,22210,,
A,Annuale,ITF5,Basilicata,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,22569,,
A,Annuale,ITF5,Basilicata,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,22011,,
A,Annuale,ITF5,Basilicata,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,22184,,
A,Annuale,ITF5,Basilicata,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,24211,,
A,Annuale,ITF5,Basilicata,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,25410,,
A,Annuale,ITF6,Calabria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,104735,,
A,Annuale,ITF6,Calabria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,103395,,
A,Annuale,ITF6,Calabria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,92996,,
A,Annuale,ITF6,Calabria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,93257,,
A,Annuale,ITF6,Calabria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,97062,,
A,Annuale,ITF6,Calabria,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,99907,,
A,Annuale,ITG1,Sicilia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,187543,,
A,Annuale,ITG1,Sicilia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,189713,,
A,Annuale,ITG1,Sicilia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,186195,,
A,Annuale,ITG1,Sicilia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,184605,,
A,Annuale,ITG1,Sicilia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,191368,,
A,Annuale,ITG1,Sicilia,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,196919,,
A,Annuale,ITG2,Sardegna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2019,52246,,
A,Annuale,ITG2,Sardegna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2020,52329,,
A,Annuale,ITG2,Sardegna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2021,49322,,
A,Annuale,ITG2,Sardegna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2022,48400,,
A,Annuale,ITG2,Sardegna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2023,50211,,
A,Annuale,ITG2,Sardegna,FJAN,Popolazione censita straniera al 1° gennaio,9,Totale,2024,52041,,
