FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC3,Liguria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,38.872826,,
A,Annuale,ITC3,Liguria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,37.580574,,
A,Annuale,ITC3,Liguria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,38.78182,,
A,Annuale,ITC3,Liguria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,39.360254,,
A,Annuale,ITC3,Liguria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,41.685004,,
A,Annuale,ITC3,Liguria,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,41.770157,,
A,Annuale,ITC4,Lombardia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,44.160378,,
A,Annuale,ITC4,Lombardia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2019,44.744864,,
A,Annuale,ITC4,Lombardia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2020,43.443918,,
A,Annuale,ITC4,Lombardia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2021,44.04764,,
A,Annuale,ITC4,Lombardia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2022,44.583661,,
A,Annuale,ITC4,Lombardia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2023,45.791906,,
A,Annuale,ITC4,Lombardia,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2024,46.037874,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,EMP_R,Tasso di occupazione,2,Femmine,Y15-89,15-89 anni,99,Totale,2018,50.107606,,
