FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo,HOLDER_SECTOR_PUBPRIV,Settore del titolare,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo (NOTE_TYPE_SOCIO_EDUC_SERVICE),NOTE_HOLDER_SECTOR_PUBPRIV,Settore del titolare (NOTE_HOLDER_SECTOR_PUBPRIV),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2019,24,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2020,23.5,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2021,25.3,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2022,25.5,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2023,27.7,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2013,11,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2014,19.7,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2015,19.9,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2016,20.2,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2017,20.1,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2018,19,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2019,16.2,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2020,15.4,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2021,16.3,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2022,16.6,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2023,19.1,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD2,Provincia Autonoma Trento,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2013,26,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD2,Provincia Autonoma Trento,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2014,28.9,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD2,Provincia Autonoma Trento,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2015,28.6,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD2,Provincia Autonoma Trento,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2016,31.2,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD2,Provincia Autonoma Trento,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2017,32.6,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
A,Annuale,ITD2,Provincia Autonoma Trento,P_100CH_Y0_2,Posti autorizzati per 100 bambini di 0-2 anni,DNUR,Nidi e sezioni primavera,9,Totale,2018,33.4,,,FILTER_ATS,Filter,,,,,,,,,,,,,,
