FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,FULL_PART_TIME,Regime orario,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_FULL_PART_TIME,Regime orario (NOTE_FULL_PART_TIME),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_NIND_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (nono decile).,9,Totale,2014,21.73,,,,,TIPO_DATO7__HOUWAG_ENTEMP_NIND_MI_N1,Nono decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_NIND_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (nono decile).,9,Totale,2015,21.86,,,,,TIPO_DATO7__HOUWAG_ENTEMP_NIND_MI_N1,Nono decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_NIND_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (nono decile).,9,Totale,2016,21.83,,,,,TIPO_DATO7__HOUWAG_ENTEMP_NIND_MI_N1,Nono decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_NIND_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (nono decile).,9,Totale,2017,21.8,,,,,TIPO_DATO7__HOUWAG_ENTEMP_NIND_MI_N1,Nono decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_NIND_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (nono decile).,9,Totale,2018,21.76,,,,,TIPO_DATO7__HOUWAG_ENTEMP_NIND_MI_N1,Nono decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_NIND_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (nono decile).,9,Totale,2019,21.99,,,,,TIPO_DATO7__HOUWAG_ENTEMP_NIND_MI_N1,Nono decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_NIND_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (nono decile).,9,Totale,2020,22.45,,,,,TIPO_DATO7__HOUWAG_ENTEMP_NIND_MI_N1,Nono decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_NIND_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (nono decile).,9,Totale,2021,21.92,,,,,TIPO_DATO7__HOUWAG_ENTEMP_NIND_MI_N1,Nono decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC1,Piemonte,HOUWAG_ENTEMP_NIND_MI,Retribuzione lorda  oraria per ora retribuita delle posizioni lavorative dipendenti in euro (nono decile).,9,Totale,2022,22.12,,,,,TIPO_DATO7__HOUWAG_ENTEMP_NIND_MI_N1,Nono decile della distribuzione della retribuzione oraria della singola posizione lavorativa dipendente delle imprese ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',HOUWAG_ENTEMP_AV_MI,Retribuzione lorda oraria per ora retribuita delle posizioni lavorative dipendenti in euro (media),9,Totale,2014,12.84,,,,,TIPO_DATO7__HOUWAG_ENTEMP_AV_MI_N1,Media aritmetica semplice della retribuzione oraria calcolata a livello di singola posizione lavorativa. La retribuzione oraria della singola posizione lavorativa dipendente delle imprese è ottenuta come rapporto fra la retribuzione lorda imponibile a fini contributivi a carico del datore di lavoro e le ore retribuite stimate sempre a carico del datore di lavoro.,,,,,,,,,,
