FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2019,8.30588,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2020,8.676102,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2021,11.234153,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2022,7.219021,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2023,6.745681,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2024,5.968864,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2018,11.970414,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2019,10.897021,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2020,11.200154,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2021,11.653013,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2022,9.978561,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2023,7.172674,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2024,6.161941,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2018,11.329922,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2019,9.457881,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2020,9.804526,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2021,11.416271,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2022,8.433235,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2023,6.936037,,
A,Annuale,ITC4,Lombardia,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2024,6.05437,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2018,6.181241,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2019,5.574471,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2020,6.92759,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2021,6.60924,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2022,4.279604,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2023,4.363814,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2024,5.131301,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2018,7.195855,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2019,7.59331,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2020,8.456378,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2021,8.254884,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2022,5.593582,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2023,5.872887,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,2,Femmine,Y15-34,15-34 anni,2024,3.040347,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2018,6.637656,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2019,6.480775,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2020,7.585508,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2021,7.322644,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2022,4.85868,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2023,5.028047,,
A,Annuale,ITDA,Trentino Alto Adige / Südtirol,UNEM_R,Tasso di disoccupazione,9,Totale,Y15-34,15-34 anni,2024,4.229389,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2018,4.591888,,
A,Annuale,ITD1,Provincia Autonoma Bolzano / Bozen,UNEM_R,Tasso di disoccupazione,1,Maschi,Y15-34,15-34 anni,2019,4.75227,,
