FREQ,Frequenza,REF_AREA,Territorio,SEX,Sesso,POSIZ_PROF,Posizione professionale,PERM_TEMP_EMPLOYEES,Carattere occupazione dipendente,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,9,Totale,2022,197.227,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,9,Totale,2023,196.989,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,1,Dipendenti,9,Totale,2024,201.636,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,1376.061,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,1419.395,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,1411.118,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,1412.431,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,1421.37,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,1528.624,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,1566.217,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,9,Totale,2018,1657.655,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,9,Totale,2019,1676.432,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,9,Totale,2020,1637.358,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,9,Totale,2021,1658.703,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,9,Totale,2022,1679.547,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,9,Totale,2023,1764.966,,
A,Annuale,ITD3,Veneto,9,Totale,1,Dipendenti,9,Totale,2024,1787.53,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,328.604,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,342.853,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,354.088,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,347.52,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,357.378,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,361.113,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,369.869,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,9,Totale,2018,400,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,9,Totale,2019,408.789,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,9,Totale,2020,409.575,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,9,Totale,2021,411.933,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,9,Totale,2022,422.516,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,9,Totale,2023,419.652,,
A,Annuale,ITD4,Friuli-Venezia Giulia,9,Totale,1,Dipendenti,9,Totale,2024,424.447,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,1277.741,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,1308.541,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,1306,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,1311.828,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,2,Tempo indeterminato,2022,1326.972,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,2,Tempo indeterminato,2023,1345.064,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,2,Tempo indeterminato,2024,1378.39,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,9,Totale,2018,1554.977,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,9,Totale,2019,1577.547,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,9,Totale,2020,1539.05,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,9,Totale,2021,1560.161,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,9,Totale,2022,1590.109,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,9,Totale,2023,1600.3,,
A,Annuale,ITD5,Emilia-Romagna,9,Totale,1,Dipendenti,9,Totale,2024,1616.962,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,2,Tempo indeterminato,2018,989.292,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,2,Tempo indeterminato,2019,979.145,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,2,Tempo indeterminato,2020,993.459,,
A,Annuale,ITE1,Toscana,9,Totale,1,Dipendenti,2,Tempo indeterminato,2021,1002.595,,
