FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,AGE_ENTERPRISE,Età della impresa,TYPE_OF_CONTRACT,Tipologia contrattuale,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2015,536755.35,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2016,589591.79,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2017,617548,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2012,846500.31,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2013,828194.62,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2014,803499.05,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2015,813780.98,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2016,838467.87,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2017,839135.71,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2012,935764.52,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2013,908870.47,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2014,884745.33,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2015,893093.71,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2016,914538.38,,
A,Annuale,ITC1,Piemonte,AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2017,941383.58,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2012,1011.89,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2013,1141.33,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2014,1074.8,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2015,831.23,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2016,946.27,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,2,Tempo indeterminato,2017,667.74,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2012,1549.42,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2013,1577.03,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2014,1401.24,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2015,1111.64,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2016,1207.01,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y0-2,0-2 anni,9,Totale,2017,1058.6,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2012,1587.73,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2013,1295.42,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2014,1257.83,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2015,1378.33,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2016,1494.19,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,2,Tempo indeterminato,2017,1278.24,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2012,2045.83,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2013,1697.52,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2014,1690.5,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2015,1768.67,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2016,1868.66,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y3-5,3-5 anni,9,Totale,2017,1692.6,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2012,2830.51,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2013,2851.1,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2014,1960.9,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2015,2022.29,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2016,1664.38,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,2,Tempo indeterminato,2017,2003.95,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2012,3477.6,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2013,3460.85,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2014,2541.65,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2015,2563.83,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2016,2160.91,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y6-10,6-10 anni,9,Totale,2017,2815.54,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2012,2394.52,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2013,2603.03,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2014,3193.03,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2015,3160.6,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2016,2968.46,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,2,Tempo indeterminato,2017,2539.66,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2012,2899.14,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2013,3105.62,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2014,3738.64,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2015,3711.33,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2016,3593.5,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y11-15,11-15 anni,9,Totale,2017,3272.67,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2012,10068.77,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2013,10353.25,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2014,9833.58,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2015,9828.51,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2016,10837.94,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,2,Tempo indeterminato,2017,11444.65,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2012,12321.88,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2013,12333.76,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2014,11933.45,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2015,11901.44,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2016,13030.76,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),Y_GE16,16 anni e più,9,Totale,2017,14208.11,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2012,17893.42,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2013,18244.13,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2014,17320.14,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2015,17220.96,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2016,17911.24,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,2,Tempo indeterminato,2017,17934.24,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2012,22293.87,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2013,22174.78,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2014,21305.48,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',AENTEMPYAA,Numero dipendenti delle imprese attive (valori medi annui),TOTAL,Totale,9,Totale,2015,21056.91,,
