FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo,TYPE_MANAGEMENT,Tipo di gestione,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TYPE_SOCIO_EDUC_SERVICE,Tipo di servizio socio-educativo (NOTE_TYPE_SOCIO_EDUC_SERVICE),NOTE_TYPE_MANAGEMENT,Tipo di gestione (NOTE_TYPE_MANAGEMENT),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ISERIDC,Servizi integrativi per la prima infanzia,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,6099417,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ISERIDC,Servizi integrativi per la prima infanzia,ALL,Tutte le voci,2023,36558044,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ALL,Tutte le voci,MDO,Comunale a gestione diretta,2023,992495452,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ALL,Tutte le voci,MMETP,Comunale a gestione affidata a terzi,2023,506236427,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ALL,Tutte le voci,PRPM,Privata con riserva di posti da parte del comune,2023,146967375,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ALL,Tutte le voci,PCM,Privata senza riserva di posti da parte del comune,2023,25263491,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ALL,Tutte le voci,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,79706728,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,TOTEXP,Totale spesa (euro),ALL,Tutte le voci,ALL,Tutte le voci,2023,1750669473,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNUR,Nidi e sezioni primavera,MDO,Comunale a gestione diretta,2023,793401184,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNUR,Nidi e sezioni primavera,MMETP,Comunale a gestione affidata a terzi,2023,378131283,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNUR,Nidi e sezioni primavera,PRPM,Privata con riserva di posti da parte del comune,2023,113720378,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNUR,Nidi e sezioni primavera,PCM,Privata senza riserva di posti da parte del comune,2023,23661475,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNUR,Nidi e sezioni primavera,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,73607311,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNUR,Nidi e sezioni primavera,ALL,Tutte le voci,2023,1382521631,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),CDNUR,Nidi,MDO,Comunale a gestione diretta,2023,771938998,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),CDNUR,Nidi,MMETP,Comunale a gestione affidata a terzi,2023,369895280,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),CDNUR,Nidi,PRPM,Privata con riserva di posti da parte del comune,2023,109043012,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),CDNUR,Nidi,PCM,Privata senza riserva di posti da parte del comune,2023,16763420,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),CDNUR,Nidi,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,67916560,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),CDNUR,Nidi,ALL,Tutte le voci,2023,1335557270,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNISC,Sezioni primavera,MDO,Comunale a gestione diretta,2023,21462186,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNISC,Sezioni primavera,MMETP,Comunale a gestione affidata a terzi,2023,8236003,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNISC,Sezioni primavera,PRPM,Privata con riserva di posti da parte del comune,2023,4677366,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNISC,Sezioni primavera,PCM,Privata senza riserva di posti da parte del comune,2023,6898055,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNISC,Sezioni primavera,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,5690751,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),DNISC,Sezioni primavera,ALL,Tutte le voci,2023,46964361,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ISERIDC,Servizi integrativi per la prima infanzia,MDO,Comunale a gestione diretta,2023,9349041,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ISERIDC,Servizi integrativi per la prima infanzia,MMETP,Comunale a gestione affidata a terzi,2023,6793893,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ISERIDC,Servizi integrativi per la prima infanzia,PRPM,Privata con riserva di posti da parte del comune,2023,10004551,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ISERIDC,Servizi integrativi per la prima infanzia,PCM,Privata senza riserva di posti da parte del comune,2023,1602016,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ISERIDC,Servizi integrativi per la prima infanzia,CFPPS,Contributi alle famiglie per servizi privati o pubblici,2023,6099417,,,,,,,,,,,,,,,,,,
A,Annuale,IT,Italia,EXPMUN,Spesa dei comuni (euro),ISERIDC,Servizi integrativi per la prima infanzia,ALL,Tutte le voci,2023,33848918,,,,,,,,,,,,,,,,,,
